"Selected Geographies","Total","Male","Female"
"Total","57704649","28918294","28786355"
"California","39237836","19620409","19617427"
"Nevada","3143991","1585620","1558371"
"Oregon","4246155","2121388","2124767"
"Utah","3337975","1694272","1643703"
"Washington","7738692","3896605","3842087"
