"Selected Geographies","Total","Male","Female"
"Total","57630967","28695231","28935736"
"California","39512223","19648687","19863536"
"Nevada","3080156","1540658","1539498"
"Oregon","4217737","2086229","2131508"
"Utah","3205958","1609186","1596772"
"Washington","7614893","3810471","3804422"
